,Education,Marital_Status,Income,Children,Recency,Total_spent,Total_no_purchase,TotalAcceptedCmp,Complain,Response,Age,Labels
0,3,0,58138.0,0,58,1617,25,1,0,1,64,2
1,3,0,46344.0,2,38,27,6,0,0,0,67,0
2,3,1,71613.0,0,26,776,21,0,0,0,56,1
3,3,1,26646.0,1,26,53,8,0,0,0,37,0
4,2,1,58293.0,1,94,422,19,0,0,0,40,1
5,1,1,62513.0,1,16,716,22,0,0,0,54,1
6,3,0,55635.0,1,34,590,21,0,0,0,50,1
7,2,1,33454.0,1,32,169,10,0,0,0,36,0
8,2,1,30351.0,1,19,46,6,1,0,1,47,0
9,2,1,5648.0,2,68,49,2,1,0,0,71,0
10,0,1,7500.0,0,59,61,6,0,0,0,45,0
11,3,0,63033.0,0,82,1102,16,0,0,0,62,1
12,1,0,59354.0,2,53,310,15,0,0,0,69,0
13,3,1,17323.0,0,38,46,5,0,0,0,34,0
14,2,0,82800.0,0,23,1315,26,3,0,1,75,2
15,3,1,41850.0,2,51,96,9,0,0,0,41,0
16,3,1,37760.0,0,20,317,13,0,0,0,75,1
17,1,1,76995.0,1,91,1782,26,1,0,0,72,1
18,1,0,33812.0,1,86,133,8,0,0,0,36,0
19,3,1,37040.0,0,41,316,12,0,0,0,39,0
20,3,1,2447.0,1,42,1730,43,0,0,0,42,1
21,2,1,58607.0,1,63,972,17,1,0,0,72,1
22,2,1,65324.0,1,0,544,20,0,0,0,67,1
23,3,1,40689.0,1,69,444,20,0,0,0,70,1
24,3,0,18589.0,0,89,75,8,0,0,0,52,0
25,3,1,53359.0,2,4,257,14,0,0,0,45,0
26,3,1,38360.0,1,26,131,9,0,0,0,32,0
27,2,1,84618.0,0,96,1672,26,1,0,0,56,1
28,1,0,10979.0,0,34,30,8,0,0,0,32,0
29,1,1,38620.0,0,56,318,11,0,0,0,58,0
30,3,1,40548.0,1,31,120,9,1,0,0,51,0
31,2,0,46610.0,2,8,302,17,1,0,1,69,2
32,1,1,68657.0,0,4,1196,18,0,0,0,75,1
33,1,0,49389.0,2,55,65,6,0,0,0,70,0
34,2,1,67353.0,1,37,913,28,0,0,0,51,1
35,1,1,23718.0,1,76,81,9,0,0,0,45,0
36,3,0,42429.0,1,99,67,7,0,0,0,48,0
37,2,0,48948.0,0,53,902,24,2,0,1,78,2
38,3,1,80011.0,1,3,1395,21,0,0,0,41,1
39,1,1,20559.0,1,88,53,7,0,0,0,36,0
40,3,1,21994.0,1,4,22,4,0,0,0,64,0
41,1,1,7500.0,1,19,31,8,0,0,0,46,0
42,3,0,79941.0,0,72,984,16,0,0,0,45,1
43,1,1,7500.0,0,24,122,10,1,0,1,25,2
44,3,1,41728.0,1,92,55,5,0,0,0,53,0
45,2,1,72550.0,2,39,1319,28,0,0,0,67,1
46,3,0,65486.0,1,29,507,17,0,0,0,64,1
47,1,1,79143.0,0,2,1693,29,0,0,0,57,1
48,3,0,35790.0,1,54,72,7,0,0,0,44,0
49,3,0,82582.0,0,54,1617,21,3,0,1,44,2
50,3,1,66373.0,2,57,606,23,0,0,0,43,1
51,1,1,82384.0,0,55,1957,27,2,0,1,66,2
52,3,0,70287.0,0,30,1093,21,1,0,1,55,2
53,3,0,27938.0,1,31,29,6,0,0,0,33,0
54,2,1,55954.0,1,63,518,19,0,0,0,53,1
55,1,0,75777.0,0,12,1438,21,3,0,1,39,2
56,3,1,66653.0,2,18,612,22,0,0,0,46,1
57,3,0,61823.0,1,26,884,24,0,0,0,69,1
58,2,0,67680.0,1,8,606,19,0,0,0,70,1
59,3,1,70666.0,0,29,1076,16,0,0,0,73,1
60,3,1,25721.0,1,75,34,5,1,0,1,50,0
61,3,1,32474.0,2,0,11,4,0,0,0,54,0
62,1,0,88194.0,1,19,1274,32,3,0,1,42,2
63,3,1,69096.0,1,4,653,18,0,0,0,63,1
64,3,1,74854.0,3,90,1562,19,0,0,0,51,1
65,1,1,66991.0,0,1,1253,21,0,0,0,67,1
66,3,1,65031.0,1,29,863,30,0,0,0,62,1
67,2,1,60631.0,2,88,661,24,1,0,0,46,1
68,3,1,28332.0,0,58,65,8,0,0,0,69,0
69,3,0,40246.0,1,68,13,4,0,0,0,44,0
70,1,1,75251.0,0,34,1890,19,1,0,1,49,2
71,3,0,75825.0,0,40,2209,22,2,0,1,45,2
72,1,1,26326.0,0,12,18,4,0,1,0,45,3
73,3,1,56046.0,0,9,692,21,2,0,1,56,2
74,3,0,29760.0,1,87,165,12,0,0,0,36,0
75,3,1,26304.0,1,5,16,4,0,0,0,52,0
76,1,1,23559.0,1,87,79,9,0,0,0,48,0
77,1,1,38620.0,0,56,318,11,0,0,0,58,0
78,3,0,81361.0,0,18,778,27,0,0,0,34,1
79,3,1,29440.0,2,95,56,7,0,0,0,61,0
80,1,1,36138.0,2,48,151,13,1,0,0,51,0
81,3,0,50388.0,1,3,372,17,3,0,1,64,2
82,3,1,79593.0,0,70,1366,19,1,0,0,48,1
83,3,1,54178.0,1,79,194,10,0,0,0,54,0
84,1,0,42394.0,1,69,32,5,0,0,0,49,0
85,2,1,23626.0,1,84,43,10,0,0,0,51,0
86,3,1,30096.0,1,30,45,6,0,0,0,38,0
87,3,0,47916.0,1,72,606,22,1,0,0,61,1
88,3,0,51813.0,2,37,63,7,0,0,0,49,0
89,1,1,78497.0,0,44,978,25,1,0,0,70,1
90,2,1,50150.0,0,32,410,16,0,0,0,38,1
91,1,0,47823.0,1,0,72,7,0,0,0,61,0
92,2,0,34554.0,1,43,55,7,0,0,0,62,0
93,3,1,85693.0,1,59,1169,27,0,0,0,42,1
94,2,1,65846.0,0,68,1120,16,0,0,0,76,1
95,3,1,87195.0,0,35,1097,20,1,0,1,62,2
96,0,1,24594.0,1,94,29,5,0,0,0,42,0
97,3,1,49096.0,2,15,187,13,0,0,0,57,0
98,3,1,52413.0,2,56,910,26,0,0,0,52,1
99,3,0,38557.0,1,17,145,9,0,0,0,43,0
100,1,1,89058.0,0,18,850,14,0,0,0,61,1
101,3,1,77298.0,1,46,969,24,0,0,0,42,1
102,2,0,68126.0,0,40,1820,17,2,0,1,30,2
103,1,1,57288.0,1,27,608,20,1,0,0,58,1
104,3,0,86037.0,0,95,730,25,3,0,1,30,2
105,2,1,43974.0,1,19,551,21,0,0,0,41,1
106,3,0,50785.0,2,27,114,8,0,0,0,59,0
107,3,1,90765.0,0,25,1724,15,2,0,0,51,1
108,1,1,36550.0,1,74,577,20,0,0,0,43,0
109,1,1,30753.0,2,85,81,7,0,0,0,54,0
110,3,1,21918.0,1,37,33,7,0,0,0,52,0
111,1,1,56129.0,1,65,660,22,0,0,0,68,1
112,1,0,32557.0,1,13,80,9,1,0,1,54,2
113,1,1,19510.0,2,63,30,6,0,0,0,36,0
114,3,0,30992.0,1,83,43,5,0,0,0,45,0
115,3,0,101970.0,0,69,1135,27,4,0,1,38,2
116,1,1,71488.0,0,87,559,16,0,0,0,56,1
117,3,0,79607.0,0,37,1923,16,1,0,1,37,2
118,1,1,54348.0,2,51,90,8,0,0,0,68,0
119,2,1,77376.0,2,72,661,23,0,0,0,65,1
120,3,1,62998.0,1,10,463,19,0,0,0,69,1
121,1,0,61331.0,2,42,632,23,0,0,0,63,1
122,3,1,73448.0,0,10,725,19,0,0,0,52,1
123,2,1,41551.0,2,51,279,16,0,0,0,57,0
124,2,1,62981.0,0,21,1482,23,1,0,0,54,1
125,0,0,9548.0,1,31,29,6,0,0,0,45,0
126,2,1,33762.0,3,61,106,9,0,0,0,62,0
127,2,0,35860.0,2,37,49,6,2,0,1,48,2
128,2,0,36921.0,2,74,38,7,0,0,0,56,0
129,1,0,92859.0,0,46,2077,22,0,0,0,29,1
130,1,1,65104.0,1,4,1053,17,1,0,1,45,2
131,3,1,86111.0,0,73,1385,23,0,0,0,59,1
132,2,0,68352.0,1,47,871,25,0,0,0,47,1
133,3,1,41883.0,1,13,312,12,0,0,0,33,0
134,3,1,59809.0,2,36,877,15,0,0,0,45,0
135,3,1,23957.0,1,47,68,6,1,0,1,46,0
136,3,1,38547.0,1,49,22,4,0,1,0,40,3
137,1,1,35688.0,3,94,211,16,0,0,0,48,0
138,1,1,49605.0,0,65,127,8,0,0,0,55,0
139,1,1,59354.0,2,59,459,16,0,0,0,68,0
140,3,1,65747.0,1,96,460,19,1,0,0,52,1
141,1,1,46344.0,1,28,429,17,0,0,0,49,0
142,3,0,34176.0,1,12,89,11,0,0,0,33,0
143,2,1,61010.0,1,57,1021,26,0,0,0,69,1
144,3,1,69372.0,0,10,1381,21,3,0,1,72,2
145,3,0,49967.0,1,4,306,15,0,0,0,63,0
146,3,0,60199.0,3,49,18,4,0,0,0,43,0
147,3,1,55375.0,1,3,162,9,0,0,0,44,0
148,3,0,80317.0,0,64,1231,18,0,0,0,66,1
149,1,0,30523.0,3,0,13,4,0,0,0,63,0
150,2,1,70356.0,0,20,1706,27,0,0,0,76,1
151,3,1,23228.0,1,91,121,11,0,0,0,37,0
152,2,0,74165.0,0,9,1293,20,0,0,0,46,1
153,2,1,157243.0,1,98,1608,37,0,0,0,48,1
154,3,1,43482.0,3,83,88,9,0,0,0,55,0
155,3,0,62551.0,0,27,421,18,1,0,0,68,1
156,3,0,52332.0,0,63,259,12,1,0,0,62,1
157,3,0,66951.0,0,46,1117,15,0,0,0,33,1
158,3,1,26091.0,2,84,89,9,0,0,0,64,0
159,3,1,33456.0,2,58,36,6,0,0,0,56,0
160,3,1,28718.0,1,78,57,7,0,0,0,39,0
161,3,1,50447.0,2,4,148,8,0,0,0,51,0
162,2,1,53537.0,2,17,93,8,0,0,0,62,0
163,3,0,52074.0,1,77,119,7,1,0,0,54,0
164,2,1,80427.0,1,56,1835,28,0,0,0,46,1
165,2,1,83837.0,0,79,1318,25,3,0,1,73,2
166,2,1,38853.0,2,90,45,7,0,0,0,51,0
167,3,1,38285.0,3,96,10,4,0,0,0,62,0
168,1,1,78497.0,0,44,978,25,1,0,0,70,1
169,2,1,51650.0,1,81,191,10,0,0,0,45,0
170,1,1,16248.0,1,77,57,9,0,0,0,33,0
171,1,1,66835.0,0,21,1033,24,0,0,0,75,1
172,1,1,30477.0,1,16,66,6,0,0,0,37,0
173,0,1,28249.0,0,80,43,6,0,0,0,60,0
174,3,1,25271.0,1,45,50,5,0,0,0,38,0
175,2,0,32303.0,1,63,39,7,0,0,0,51,0
176,3,1,61286.0,1,34,608,18,0,0,0,55,1
177,3,1,74068.0,0,14,1581,24,0,0,0,45,1
178,2,1,45759.0,2,13,68,7,0,0,0,57,0
179,0,1,24882.0,1,52,80,5,1,0,0,43,0
180,2,1,66973.0,0,98,1282,28,0,0,0,32,1
181,1,0,36640.0,1,99,65,6,0,1,0,121,3
182,3,1,38872.0,1,93,91,8,0,0,0,33,0
183,3,1,51148.0,2,38,315,16,0,0,0,48,0
184,3,1,31353.0,2,24,31,6,0,0,0,44,0
185,1,1,69661.0,0,80,834,23,0,0,0,41,1
186,3,1,80067.0,0,82,1600,17,1,0,0,67,1
187,3,1,86718.0,0,20,1270,17,0,0,0,67,1
188,2,0,46854.0,2,81,263,15,2,0,1,48,2
189,3,0,69142.0,1,50,535,19,1,0,0,69,1
190,3,0,75922.0,0,60,1295,18,0,0,0,53,1
191,3,0,63693.0,1,63,1150,29,0,0,0,43,1
192,2,1,102160.0,0,54,1240,26,4,0,1,44,2
193,2,0,40637.0,2,72,38,6,0,0,0,56,0
194,1,0,18890.0,0,5,35,4,2,0,1,37,2
195,3,1,29604.0,1,88,53,5,1,0,0,33,0
196,1,0,48721.0,2,50,293,17,0,0,0,58,0
197,3,1,44794.0,1,99,65,6,0,0,0,55,0
198,3,0,64497.0,1,17,1804,29,2,0,1,67,2
199,3,1,46097.0,1,11,241,15,0,0,0,65,0
200,3,1,77972.0,0,18,1101,20,0,0,0,67,1
201,2,1,44377.0,2,70,264,19,0,0,0,53,0
202,1,1,46014.0,2,21,541,26,0,0,0,47,1
203,3,1,70951.0,0,66,1198,17,0,0,0,36,1
204,3,1,41443.0,1,79,482,20,0,0,0,44,1
205,1,0,52195.0,3,2,17,4,0,0,0,43,0
206,1,1,83790.0,0,81,1615,25,2,0,0,73,1
207,1,0,44551.0,1,24,285,12,0,0,0,67,0
208,3,1,69508.0,1,48,1135,28,0,0,0,41,1
209,1,1,45204.0,1,93,114,7,0,0,0,33,0
210,3,1,72460.0,0,56,1047,16,0,0,0,52,1
211,2,1,77622.0,2,3,714,22,0,0,0,51,1
212,2,1,30732.0,1,44,185,13,0,0,0,41,0
213,3,0,63887.0,1,38,1245,32,0,0,0,59,1
214,3,1,42011.0,1,46,189,12,0,0,0,43,0
215,3,1,51369.0,1,84,576,16,0,0,0,45,1
216,3,0,51537.0,1,27,1103,18,0,0,0,69,1
217,2,1,79930.0,0,72,1753,17,0,0,0,49,1
218,2,1,34320.0,1,66,17,4,0,0,0,35,0
219,3,0,37070.0,2,30,433,23,1,0,1,55,2
220,1,0,81975.0,1,2,1588,14,1,0,0,59,1
221,3,1,38590.0,1,65,22,4,0,0,0,50,0
222,3,0,15033.0,0,37,19,5,0,0,0,70,0
223,2,1,62745.0,1,89,1117,29,0,0,0,56,1
224,1,1,22212.0,1,49,69,8,0,0,0,46,0
225,1,1,23661.0,1,46,23,5,0,0,0,39,0
226,2,0,79761.0,1,32,605,19,0,0,0,63,1
227,3,0,7500.0,1,54,57,11,0,0,0,48,0
228,1,0,60182.0,1,23,22,4,0,0,0,128,0
229,3,0,73455.0,0,98,2088,22,1,0,0,53,1
230,3,1,64961.0,1,97,1009,16,0,0,0,63,1
231,3,0,22804.0,1,75,26,5,0,0,0,50,0
232,3,1,73687.0,0,8,1627,22,2,0,1,31,2
233,3,1,61074.0,1,37,1102,31,0,0,0,63,1
234,2,1,31686.0,2,31,17,6,0,0,0,57,0
235,3,1,80134.0,1,40,1690,16,4,0,1,49,2
236,3,1,75027.0,1,74,1390,21,0,0,0,68,1
237,2,1,67546.0,0,90,2126,20,0,0,0,33,1
238,1,1,65176.0,1,57,1531,25,0,0,0,52,1
239,1,0,31160.0,1,59,64,7,0,0,0,46,0
240,3,0,29938.0,1,52,26,6,0,0,0,36,0
241,3,0,102692.0,0,5,1112,29,5,0,1,47,2
242,1,1,26490.0,0,92,210,11,0,0,0,63,0
243,3,1,75702.0,2,77,1148,26,0,0,0,54,1
244,2,0,30899.0,1,35,33,6,0,0,0,47,0
245,2,1,63342.0,1,48,1101,19,1,0,0,60,1
246,3,0,45989.0,1,97,322,16,0,0,0,57,0
247,3,0,18701.0,2,95,44,10,0,0,0,57,0
248,2,0,40737.0,3,24,17,4,0,0,0,64,0
249,3,0,15287.0,1,60,31,6,2,0,1,42,2
250,2,0,69674.0,2,46,845,25,0,0,0,53,1
251,1,1,44159.0,1,85,275,15,0,0,0,51,0
252,2,1,37717.0,1,31,25,4,0,0,0,43,0
253,1,1,43776.0,2,9,275,17,1,0,1,69,2
254,1,1,38179.0,2,30,90,11,0,0,0,55,0
255,3,1,80124.0,0,47,1495,19,1,0,0,58,1
256,2,1,38097.0,2,70,184,11,2,0,1,51,2
257,3,1,72940.0,0,13,981,13,0,0,0,51,1
258,3,1,22070.0,1,11,67,8,0,0,0,51,0
259,3,0,69267.0,0,31,1635,14,1,0,1,68,2
260,1,0,31788.0,1,15,60,10,0,1,0,38,3
261,2,1,61905.0,1,2,231,12,0,0,0,46,0
262,3,1,29315.0,2,55,48,10,0,0,0,61,0
263,3,0,33378.0,2,38,99,9,0,0,0,58,0
264,2,1,66313.0,1,86,770,23,0,0,0,58,1
265,3,0,60714.0,0,56,957,23,1,0,1,65,2
266,1,1,77882.0,0,29,818,12,0,0,0,40,1
267,2,0,69867.0,0,30,925,17,2,0,1,35,2
268,1,0,63841.0,1,64,908,22,0,0,0,53,1
269,0,1,24480.0,1,46,102,10,0,0,0,40,0
270,3,1,51369.0,1,84,576,16,0,0,0,45,1
271,3,1,37760.0,0,20,317,13,0,0,0,75,1
272,2,1,65640.0,1,74,461,15,0,0,0,47,1
273,1,1,44319.0,2,18,37,7,0,0,0,46,0
274,3,1,30631.0,1,75,70,7,0,0,0,47,0
275,3,1,75278.0,0,17,930,23,0,0,0,69,1
276,1,1,50898.0,2,88,859,33,0,0,0,65,1
277,3,0,79946.0,0,19,1478,22,0,0,0,55,1
278,1,0,35416.0,0,62,390,16,0,0,0,72,1
279,1,1,32414.0,0,11,52,5,1,0,0,37,0
280,3,1,38361.0,1,74,137,10,0,0,0,52,0
281,3,1,82497.0,0,32,1919,19,1,0,0,41,1
282,3,1,16626.0,2,76,68,9,0,0,0,50,0
283,3,1,29672.0,2,6,25,4,0,0,0,56,0
284,1,1,55951.0,1,62,1374,23,2,0,0,69,1
285,1,0,35388.0,1,20,32,5,0,0,0,33,0
286,1,1,42386.0,1,43,100,7,0,0,0,35,0
287,3,0,68627.0,0,45,825,12,0,0,0,39,1
288,2,0,57912.0,1,34,916,28,1,0,0,56,1
289,3,0,35246.0,2,53,62,11,0,0,0,63,0
290,1,1,58821.0,1,44,728,21,0,0,0,65,1
291,2,1,46377.0,1,89,90,7,0,0,0,43,0
292,3,0,39747.0,1,43,273,13,0,0,0,33,0
293,3,1,23976.0,1,68,66,10,0,0,0,37,0
294,1,1,80950.0,0,44,1213,23,1,0,0,60,1
295,3,0,27038.0,0,64,107,7,1,0,1,55,2
296,3,0,77457.0,0,85,1157,18,1,0,0,74,1
297,1,1,64100.0,1,93,546,18,1,0,0,57,1
298,1,1,42670.0,0,12,241,11,0,0,0,29,0
299,3,0,12571.0,1,86,53,11,0,0,0,45,0
300,3,1,22574.0,3,28,37,7,0,0,0,54,0
301,1,0,70893.0,0,42,1508,23,0,0,0,45,1
302,3,1,54198.0,2,13,235,16,0,0,0,55,0
303,1,1,28839.0,2,86,32,7,0,0,0,65,0
304,3,1,40321.0,2,59,102,8,0,0,0,49,0
305,3,0,66503.0,1,30,401,15,0,0,0,36,0
306,3,1,30833.0,2,33,28,6,0,0,0,70,0
307,3,1,64795.0,1,23,680,21,0,0,0,50,1
308,3,1,34421.0,1,81,30,4,0,0,0,47,0
309,2,0,47025.0,2,6,20,4,0,0,0,56,0
310,2,0,64325.0,1,41,1307,23,0,0,0,60,1
311,3,0,40464.0,1,78,630,24,0,0,0,68,1
312,3,1,62187.0,0,49,1283,18,0,0,0,64,1
313,2,0,14849.0,1,39,65,9,0,0,0,45,0
314,3,1,27255.0,1,3,37,5,0,0,0,37,0
315,2,1,54432.0,3,37,38,5,0,0,0,71,0
316,2,0,29999.0,1,22,160,12,0,0,0,35,0
317,3,0,24072.0,1,79,23,4,0,0,0,38,0
318,2,0,33996.0,0,46,71,6,0,0,0,32,0
319,2,1,66334.0,1,82,1161,19,1,0,1,65,2
320,1,1,35178.0,1,10,59,5,2,0,1,50,2
321,3,1,22010.0,1,51,33,7,0,0,0,38,0
322,3,0,62204.0,2,38,946,22,0,0,0,61,1
323,3,0,75693.0,0,10,1442,22,4,0,1,53,2
324,3,1,30675.0,1,14,62,5,0,0,0,49,0
325,3,1,83003.0,0,18,1674,22,2,0,1,56,2
326,2,1,83532.0,0,36,1853,15,1,0,0,122,1
327,3,0,68655.0,0,95,1538,21,0,0,0,33,1
328,3,0,41411.0,0,11,139,8,0,0,0,35,0
329,2,1,55212.0,1,65,1182,20,2,0,0,52,1
330,2,1,59292.0,1,71,507,18,0,0,0,71,1
331,0,1,27190.0,1,13,18,4,2,0,1,48,2
332,3,0,82623.0,0,58,940,16,0,0,0,69,1
333,3,1,44300.0,2,65,42,6,0,0,0,56,0
334,3,0,84835.0,0,0,1190,15,1,0,1,51,2
335,3,0,30372.0,2,33,44,8,0,0,0,50,0
336,1,1,33181.0,1,90,16,4,1,0,0,45,0
337,3,1,71113.0,1,95,835,26,0,0,0,64,1
338,3,1,71952.0,1,93,1443,22,2,0,0,35,1
339,2,0,69759.0,0,38,1029,18,1,0,1,55,2
340,3,1,72099.0,0,18,1188,18,0,0,0,47,1
341,2,0,60000.0,1,57,1277,24,0,0,0,45,1
342,3,0,38643.0,2,45,49,7,0,1,0,43,3
343,3,1,50737.0,1,61,99,7,1,0,0,66,0
344,2,1,68462.0,0,6,1670,15,0,0,0,52,1
345,1,1,65073.0,0,65,900,14,0,1,0,78,3
346,2,1,46681.0,2,52,425,16,0,0,0,73,0
347,3,1,78618.0,0,87,2153,22,1,0,0,64,1
348,2,0,62187.0,1,38,636,21,0,0,0,52,1
349,3,1,28442.0,2,53,57,10,0,0,0,43,0
350,2,1,37717.0,1,31,25,4,0,0,0,43,0
351,3,1,51479.0,2,67,494,22,0,0,0,54,1
352,3,0,54803.0,1,65,693,19,0,0,0,52,1
353,3,1,79530.0,0,64,1348,26,0,0,0,61,1
354,3,0,31615.0,1,82,51,7,0,0,0,45,0
355,3,1,72025.0,0,27,1932,16,0,0,0,59,1
356,2,0,52614.0,1,63,990,16,0,0,0,46,1
357,1,1,35684.0,1,66,30,5,0,0,0,37,0
358,3,1,48178.0,2,69,254,16,0,0,0,46,0
359,1,0,29548.0,1,52,29,5,1,0,0,51,0
360,3,0,63810.0,1,45,1371,23,1,0,0,55,1
361,2,0,38578.0,2,2,73,9,1,0,1,49,2
362,1,0,46098.0,2,86,120,11,0,0,0,46,0
363,3,0,22585.0,0,23,81,5,2,0,1,51,2
364,3,0,30279.0,1,13,37,5,0,0,0,32,0
365,2,1,66426.0,1,14,1377,20,0,0,0,60,1
366,3,0,30822.0,1,92,51,5,0,0,0,52,0
367,2,1,33581.0,2,38,17,4,0,0,0,52,0
368,3,1,19986.0,1,74,22,4,0,0,0,36,0
369,3,0,27421.0,0,14,324,14,0,0,0,67,0
370,1,1,35688.0,3,94,211,16,0,0,0,48,0
371,1,0,36143.0,1,33,19,4,0,0,0,40,0
372,3,0,10245.0,1,32,41,8,0,0,0,50,0
373,1,1,43795.0,1,11,492,17,2,0,1,53,2
374,3,1,63381.0,1,78,1005,26,0,0,0,61,1
375,3,1,38823.0,1,56,114,7,0,0,0,72,0
376,2,0,83664.0,2,57,1173,19,0,0,0,53,1
377,3,1,90300.0,0,7,1738,19,1,0,0,42,1
378,1,1,62499.0,1,0,222,12,0,0,0,42,0
379,3,0,74293.0,0,66,1127,16,0,0,0,28,1
380,2,1,51012.0,0,86,209,10,0,0,0,75,0
381,1,1,70777.0,1,80,787,23,0,0,0,53,1
382,2,1,68682.0,0,56,1598,24,0,0,0,30,1
383,3,1,43824.0,2,18,186,12,0,0,0,50,0
384,3,1,15345.0,1,51,47,6,1,0,1,37,0
385,3,0,23442.0,1,71,27,5,0,0,0,34,0
386,1,1,14515.0,1,71,96,11,1,0,1,41,0
387,1,0,31395.0,2,80,64,10,0,0,0,65,0
388,3,1,75276.0,0,2,1040,23,0,0,0,56,1
389,3,0,42373.0,2,83,163,13,0,0,0,47,0
390,3,1,30507.0,0,29,343,11,0,0,0,61,0
391,2,0,55521.0,3,11,446,24,2,0,1,66,2
392,3,1,48006.0,2,55,41,5,0,0,0,56,0
393,2,0,27213.0,1,19,70,9,1,0,1,49,2
394,2,0,65808.0,2,1,272,14,0,0,0,50,0
395,2,1,30351.0,1,19,46,6,0,0,0,47,0
396,3,1,50437.0,2,28,490,19,0,0,0,58,0
397,1,0,23616.0,1,76,79,8,1,0,1,39,0
398,3,1,53858.0,1,50,915,17,0,0,0,45,1
399,2,1,66465.0,1,1,1485,35,1,0,0,66,1
400,3,0,46923.0,1,90,369,16,0,0,0,34,0
401,3,1,75072.0,1,83,1073,19,0,0,0,59,1
402,2,1,75865.0,0,73,1242,19,0,0,0,78,1
403,1,1,19789.0,1,24,78,9,1,0,0,46,0
404,3,1,80134.0,0,11,1378,21,4,0,0,27,2
405,3,0,91065.0,0,33,1474,26,3,0,1,40,2
406,1,1,49505.0,2,4,751,29,0,0,0,50,1
407,2,1,37401.0,1,14,48,7,0,0,0,48,0
408,3,1,30096.0,1,30,45,6,0,0,0,38,0
409,1,1,18492.0,1,75,10,4,0,0,0,39,0
410,1,1,82584.0,0,26,1435,16,3,0,1,47,2
411,2,1,93027.0,0,77,2119,22,1,0,0,80,1
412,3,1,48686.0,3,8,20,4,0,0,0,68,0
413,3,1,92910.0,0,42,1795,27,3,0,0,35,2
414,3,1,75433.0,1,28,1188,19,2,0,0,32,1
415,1,1,10404.0,1,52,43,7,0,0,0,32,0
416,3,1,61314.0,1,1,1008,24,0,0,0,53,1
417,2,0,84865.0,0,1,1688,16,5,0,1,60,2
418,3,1,42387.0,1,42,684,21,0,0,0,32,1
419,1,1,67309.0,2,76,1082,39,0,0,0,54,1
420,3,1,75236.0,1,27,1068,25,0,0,0,57,1
421,3,0,30015.0,1,28,57,7,0,0,0,51,0
422,1,1,50943.0,1,49,46,5,0,0,0,65,0
423,3,0,67272.0,1,12,733,23,0,0,0,55,1
424,1,0,51529.0,1,14,467,17,0,0,0,72,1
425,2,1,32011.0,1,89,122,10,0,0,0,50,0
426,1,1,7500.0,1,96,36,7,0,0,0,35,0
427,3,1,28691.0,1,56,34,5,0,0,0,32,0
428,2,1,56223.0,1,72,156,10,0,0,0,73,0
429,3,1,18100.0,0,14,14,4,0,0,0,75,0
430,3,0,30279.0,1,13,37,5,0,0,0,32,0
431,1,1,20130.0,0,99,34,5,0,0,0,47,0
432,3,0,23295.0,0,72,20,4,0,0,0,62,0
433,1,0,42618.0,1,92,192,11,0,0,0,49,0
434,3,0,81246.0,0,87,1379,17,2,0,0,57,1
435,3,1,24027.0,1,7,48,7,0,0,0,45,0
436,2,1,55707.0,1,91,428,16,0,0,0,68,1
437,3,0,57959.0,1,71,868,27,0,0,0,66,1
438,3,1,56796.0,1,24,1001,27,0,0,0,52,1
439,1,0,36230.0,1,17,59,7,0,0,0,50,0
440,1,1,70829.0,2,87,431,16,0,0,0,41,0
441,3,1,65991.0,1,21,971,27,0,0,0,45,1
442,3,1,38988.0,3,90,348,19,0,0,0,49,0
443,1,0,89572.0,0,44,2059,24,3,0,1,55,2
444,1,1,42207.0,1,71,265,14,2,0,1,37,2
445,3,1,50300.0,1,52,270,13,0,0,0,69,0
446,1,1,66664.0,0,78,1289,19,0,0,0,39,1
447,3,1,60597.0,1,2,893,16,2,0,1,57,2
448,3,0,70165.0,0,60,926,22,0,0,0,72,1
